PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA/MONTH,LATITUDE,LONGITUDE,PRICE
2,139,3,1,49315,3,2.5,1936,13410,2015,344,,42.799232,-85.709547,290000
2,140,3,1,49315,4,2.5,3066,19602,2016,109,,42.8210267,-85.7454988,469900
2,132,3,1,49315,,,,,,,,42.8018106,-85.7146409,409000
1,141,3,1,49315,2,2,2275,,1990,38,245,42.8061859,-85.721266,190000
2,142,3,1,49315,,,,,,,,42.798702,-85.721988,207000
2,132,3,1,49315,5,3.5,3422,13500,2016,301,5,42.8018106,-85.7146408,409000
2,143,3,1,49315,5,3,2874,21780,2005,259,,42.804876,-85.707067,280000
1,144,3,1,49315,,,,,,,,42.8157559,-85.7154547,231680
2,142,3,1,49315,,,,14375,,,,42.798426,-85.72199,204500
1,145,3,1,49315,,,,,,,,42.8186537,-85.7157639,265000
2,146,3,1,49315,4,3.5,2962,13068,2016,239,,42.8196746,-85.7321562,526000
2,147,3,1,49315,4,3.5,3062,17424,2005,168,,42.803446,-85.710156,330000
2,138,3,1,49315,3,1.5,1200,19166,1959,269,,42.812438,-85.713941,125000
2,148,3,1,49315,3,1,1560,13503,1955,360,,42.797763,-85.714718,151250
2,135,3,1,49315,4,2.5,2549,56372,2016,91,,42.8221145,-85.7441974,468500
2,133,3,1,49315,3,2.5,1733,11143,2002,332,7,42.815223,-85.7115759,260100
2,135,3,1,49315,,,,,,,,42.8212976,-85.743414,443900
2,149,3,1,49315,1,1,659,7405,1923,263,,42.811943,-85.735289,106000
1,150,3,1,49315,2,2.5,2104,,2012,112,235,42.815065,-85.734406,239900
2,136,3,1,49315,5,3.5,3159,,2005,298,,42.802061,-85.719344,370000
2,125,3,1,49315,,,,9148,,,,42.808968,-85.723298,149500
2,151,3,1,49315,,,,,,,,42.8122508,-85.7228061,325000
2,152,3,1,49315,,,,,,,,42.816259,-85.7062289,244000
2,153,3,1,49315,3,2.5,2175,10164,1993,140,,42.807786,-85.728426,240000
2,126,3,1,49315,4,2.5,2395,18575,2016,66,,42.8225249,-85.7457293,427500
2,154,3,1,49315,4,3,3230,12600,1991,263,,42.8079725,-85.7157563,249900
1,155,3,1,49315,,,,,,,,42.8186537,-85.7157639,268900
2,156,3,1,49315,5,2,2650,12196,1951,184,,42.815022,-85.724991,195000
1,157,3,1,49315,3,2.5,2050,,2014,228,160,42.8186547,-85.7157651,265000
1,145,3,1,49315,3,2.5,2430,,2014,274,155,42.8186547,-85.7157651,265000
2,158,3,1,49315,4,2.5,2882,,1999,212,,42.804235,-85.727849,298000
2,159,3,1,49315,3,2,1742,13395,1989,119,,42.806676,-85.733003,217500
2,151,3,1,49315,5,3.5,3037,20984,2016,7,,42.798674,-85.720195,395000
2,160,3,1,49315,3,1,1296,8800,1920,115,,42.813527,-85.727553,145000
2,161,3,1,49315,,,,,,,,42.808348,-85.734367,187000
2,136,3,1,49315,5,3,1573,,2010,220,,42.801829,-85.713404,310000
2,126,3,1,49315,4,2.5,3373,18700,2015,141,,42.8216878,-85.7438833,445000
2,162,3,1,49315,,,,12632,,,,42.822323,-85.707595,165000
4,163,3,1,49315,,,,,,,,42.81704,-85.721501,84900
2,147,3,1,49315,,,,,,,,42.802682,-85.7085309,272000
2,164,3,1,49315,5,3.5,3282,21780,2004,275,,42.8243,-85.742443,479000
2,165,3,1,49315,,,,22216,,,,42.807184,-85.726137,249000
2,166,3,1,49315,5,3,2610,12880,2009,287,,42.8057745,-85.7111592,296000
1,167,3,1,49315,2,2.5,1904,,2006,268,160,42.815137,-85.7143789,187000
1,168,3,1,49315,2,3,1216,,1980,113,175,42.811402,-85.735113,79900
2,161,3,1,49315,,,,,,,,42.808338,-85.73503,200000
1,169,3,1,49315,,,,,,,,42.8157559,-85.7154547,288585
2,132,3,1,49315,4,2.5,2208,13230,2016,203,,42.8018106,-85.7146409,389900
1,170,3,1,49315,,,,,,,,42.815007,-85.714336,179900
2,135,3,1,49315,,,,,,,,42.8225204,-85.7461275,429900
2,135,3,1,49315,4,2.5,2531,19806,2016,226,,42.821637,-85.744648,430665
2,171,3,1,49315,5,3,4037,30927,2014,241,,42.8180589,-85.7426076,539900
1,172,3,1,49315,,,,,,,,42.8157559,-85.7154547,265060
2,143,3,1,49315,5,3,2660,15246,2003,149,,42.805797,-85.7058629,265000
2,148,3,1,49315,3,2,1940,19166,1992,203,,42.797808,-85.718194,175900
2,173,3,1,49315,5,3.5,3985,37026,2016,294,5,42.799808,-85.713405,499900
2,143,3,1,49315,4,3.5,3435,13200,2005,247,,42.805243,-85.706901,357900
2,136,3,1,49315,5,3.5,2916,12056,2010,273,5,42.801798,-85.709834,315000
1,174,3,1,49315,2,2.5,1940,,2003,357,150,42.8181139,-85.7159048,186000
1,175,3,1,49315,,,,,,,,42.8122508,-85.7228061,248900
2,138,3,1,49315,5,4.5,3800,,1944,303,,42.807156,-85.7237449,255000
2,176,3,1,49315,,,,,,,,42.7994632,-85.7159464,290000
2,173,3,1,49315,4,2.5,2312,15422,2016,164,5,42.800057,-85.714336,325000
2,138,3,1,49315,,,,10890,,,,42.811979,-85.731854,160000
2,124,3,1,49315,,,,,,,,42.814977,-85.708874,225000
1,177,3,1,49315,2,2,2275,,1996,261,245,42.806842,-85.719234,205900
1,178,3,1,49315,,,,,,,,42.81139,-85.734812,117000
1,179,3,1,49315,3,2,2275,,1991,219,245,42.805509,-85.72041,205000
1,157,3,1,49315,,,,,,,,42.8186537,-85.7157639,265000
2,180,3,1,49315,5,3,2608,14374,1990,200,,42.806886,-85.732838,255000
2,181,3,1,49315,,,,,,,,42.80539,-85.703486,229900
2,182,3,1,49315,4,2.5,3876,,2003,344,,42.823355,-85.7405689,447000
2,138,3,1,49315,,,,12197,,,,42.806085,-85.728294,247000
2,183,3,1,49315,4,1,2250,38332,1900,361,3,42.803538,-85.703692,169000
2,184,3,1,49315,4,2.5,2414,13206,2015,189,,42.80317,-85.714212,379900
1,185,3,1,49315,,,,,,,,42.815545,-85.716029,210000
2,186,3,1,49315,4,2,2243,11761,1998,329,,42.803977,-85.723491,219900
2,160,3,1,49315,,,,124582,,,,42.81433,-85.729297,250000
2,180,3,1,49315,3,2.5,1856,12632,1989,206,,42.807154,-85.733492,232000
2,132,3,1,49315,,,,,,,,42.8018106,-85.7146409,379900
2,161,3,1,49315,3,1.5,1682,,1974,14,,42.807784,-85.735342,185000
1,187,3,1,49315,,,,,,,,42.8157559,-85.7154547,234125
1,188,3,1,49315,2,2.5,2280,,2003,196,160,42.815371,-85.715378,234000
2,136,3,1,49315,4,3.5,2927,13503,2000,108,,42.804297,-85.7289289,299900
1,189,3,1,49315,,,,,,,,42.815297,-85.715658,205000
2,180,3,1,49315,4,3.5,2544,15246,1990,43,,42.806224,-85.733825,217000
